Date,Mom   
200702,  -1.35
200703,   2.56
200704,  -0.24
200705,  -0.34
200706,   0.51
200707,   2.94
200708,   0.10
200709,   4.63
200710,   5.02
200711,   0.99
200712,   6.63
200801,  -7.75
200802,   6.10
200803,   4.27
200804,  -0.31
200805,   3.31
200806,  12.75
200807,  -5.13
200808,  -4.02
200809,   0.28
200810,   7.85
200811,   7.17
200812,  -5.09
200901,  -2.18
200902,   4.41
200903, -11.87
200904, -34.30
200905, -12.49
200906,   5.48
200907,  -5.55
200908,  -9.07
200909,  -4.79
200910,   2.61
200911,   0.30
200912,   3.01
201001,  -5.40
201002,   3.74
201003,   3.76
201004,   3.16
201005,  -0.25
201006,  -2.76
201007,   1.88
201008,  -0.06
201009,   1.41
201010,   1.58
201011,   2.66
201012,  -3.03
201101,  -0.29
201102,   1.99
201103,   3.40
201104,   0.04
201105,  -0.62
201106,   1.78
201107,   0.18
201108,  -0.28
201109,  -2.42
201110,  -1.43
201111,   3.84
201112,   1.81
201201,  -7.91
201202,  -0.29
201203,   1.30
201204,   3.75
201205,   6.49
201206,  -1.06
201207,   3.04
201208,  -2.37
201209,  -1.14
201210,   0.14
201211,   0.49
201212,  -2.86
201301,  -1.79
201302,   1.29
201303,   1.92
201304,   0.22
201305,  -2.02
201306,   0.52
201307,   1.76
201308,   0.02
201309,   3.06
201310,   0.08
201311,   0.44
201312,   0.02
201401,   1.71
201402,   2.07
201403,  -3.29
201404,  -3.89
201405,   0.87
201406,   0.69
201407,  -0.12
201408,   0.82
201409,   0.50
201410,  -0.06
201411,   0.69
201412,   1.12
201501,   3.84
201502,  -2.82
201503,   2.74
201504,  -7.27
201505,   5.82
201506,   3.01
201507,   9.98
201508,  -2.09
201509,   5.22
201510,  -3.28
201511,   2.28
201512,   3.36
201601,   1.44
201602,  -4.38
201603,  -5.01
201604,  -6.02
201605,   1.42
201606,   4.13
201607,  -3.34
201608,  -3.49
201609,   0.19
201610,   0.59
201611,  -4.62
201612,  -0.26
201701,  -0.93
201702,  -1.65
201703,  -1.02
201704,   0.48
201705,   1.48
201706,  -0.09
201707,   1.68
201708,   3.26
201709,  -1.32
201710,   4.27
201711,  -0.87
201712,  -1.54
201801,   4.05
201802,   3.58
201803,  -1.13
201804,   0.36
201805,   3.89
201806,  -2.35
201807,  -1.41
201808,   5.29
201809,   0.04
201810,  -1.99
201811,  -1.37
201812,   2.11
201901,  -8.68
201902,   0.86
201903,   2.21
201904,  -2.97
201905,   7.56
201906,  -2.30
201907,   2.89
201908,   6.92
201909,  -6.81
201910,   0.15
201911,  -2.66
201912,  -1.77
202001,   5.98
202002,  -0.40
202003,   7.97
202004,  -5.23
202005,   0.43
202006,  -0.73
202007,   7.61
202008,   0.55
202009,   3.12
202010,  -3.05
202011, -12.43
202012,  -2.32
202101,   4.50
202102,  -7.89
202103,  -6.14
202104,   1.16
202105,   0.88
202106,   2.20
202107,  -2.28
202108,   2.45
202109,   1.49
202110,   3.19
202111,   0.88
202112,  -2.60
202201,  -2.60
202202,   1.76
202203,   3.01
202204,   4.87
202205,   2.43
202206,   0.75
202207,  -3.95
202208,   2.04
202209,   3.51
202210,   3.96
202211,  -1.98
202212,   4.55
202301, -16.01
202302,   0.15
202303,  -2.47
202304,   1.62
202305,  -0.63
202306,  -2.37
202307,  -3.98
202308,   3.77
202309,   0.26
202310,   1.73
202311,   2.75
202312,  -5.56